key,url,username,title,description,favicon,tag1,tag2,tag3,tag4,tag5
-74,https://productforums.google.com/forum/#!topic/docs/An-nZtjaupU,Xiaoyun Yang,Publish google sheets to the web in CSV format,,Discussion,frontend,webapp,NULL,NULL,NULL
-75,https://docs.google.com/spreadsheets/d/1X9PrlVeO9GCSmHw8psSD1fN_77vueV_A4EdaQrVzfO0/edit#gid=0,LooseLeaf,Link to the bookmark collection for xiaoyunyang.github.io in Google Spreadsheet,modifying this file will modify this page,Interactive,frontend,startup,in progress,data,NULL
-76,https://medium.com/@jason/starting-today-civilians-can-be-angel-investors-should-they-7fef6023b6de#.nifximlho,Xiaoyun Yang,Anyone can be an angel investor today,,Reading,startup,Fundraising,investment,NULL,NULL
-77,https://medium.com/@nchirls/the-current-state-of-seed-investing-c2929443058f#.rxl354yvn,Xiaoyun Yang,"The current state of ""seed"" funding",things you need to know if you're a first time entrepreneur looking for seed funding,Reading,startup,Fundraising,NULL,NULL,NULL
-78,https://medium.com/life-learning/vcs-fund-people-and-products-not-pitch-decks-c692847b555b#.8r0am11sf,Xiaoyun Yang,How to pitch to a VC,,Reading,startup,Fundraising,NULL,NULL,NULL
-79,https://www.morningtrans.com/infographic-50-untranslatable-words-from-around-the-world/,Xiaoyun Yang,50 Untranslatable words from around the country,Infographics,Image,learning,culture,NULL,NULL,NULL
-80,http://www.vulture.com/2016/01/100-jokes-shaped-modern-comedy-c-v-r.html?utm_source=pocket&utm_medium=email&utm_campaign=pockethits,Xiaoyun Yang,100 Jokes that changed modern history - timeline visualization,Awesome timeline navigation features,Interactive,datavis,culture,NULL,NULL,NULL
-90,http://qz.com/567479/the-cultural-differences-between-east-and-west-according-to-one-artist/,Xiaoyun Yang,The cultural difference between East and West,Cool infographics,Image,culture,NULL,NULL,NULL,NULL
-91,https://medium.com/@scottdanielcooper/how-being-in-a-band-taught-me-everything-i-know-about-marketing-and-running-a-business-40e2eedbbd82#.k5jem49nn,Xiaoyun Yang,What you learn about starting a business from being in a band,,Reading,startup,business,NULL,NULL,NULL
-92,https://medium.freecodecamp.com/designing-in-color-abd358660a7b#.mia5bremf,Xiaoyun Yang,Choosing colors in your design,Picking a color for your logo and website etc,Reading,design,frontend,learning,UX,NULL
-93,https://byrslf.co/the-ultimate-guide-to-writing-your-first-book-a0748ceaa9a6#.79x3fnv6p,Xiaoyun Yang,Ultimate guide to becoming an author,This article helps you identify what kind of author you are and how to go from idea into a book and a product.,Reading,learning,NULL,NULL,NULL,NULL
